Deaths,Moves,Wins,Gamma,Time
122,34422,1000,1.05,3.9129369258880615
122,34811,1000,1.06,3.95334792137146
122,34409,1000,1.07,3.9155173301696777
122,34052,1000,1.08,3.9069888591766357
122,34231,1000,1.09,3.90885066986084
122,34573,1000,1.1,3.4724903106689453
122,34484,1000,1.11,3.2852296829223633
122,34515,1000,1.12,3.225907325744629
122,34541,1000,1.13,2.9825901985168457
160,34083,1000,1.14,2.6718320846557617
175,33874,1000,1.15,2.2726337909698486
124,200000,12,1.16,2.6420693397521973
125,200000,8,1.17,2.2285401821136475
126,200000,8,1.18,2.604224920272827
129,200000,7,1.19,2.722419023513794
130,200000,6,1.2,2.3728010654449463
120,200000,5,1.21,2.3191659450531006
136,200000,5,1.22,3.0604782104492188
134,200000,5,1.23,2.3672640323638916
127,200000,5,1.24,2.3759639263153076
128,200000,3,1.25,2.8753280639648438
124,200000,3,1.26,2.501314878463745
144,200000,3,1.27,2.8181211948394775
137,200000,1,1.28,2.9525535106658936
116,200000,0,1.29,2.274846076965332
129,200000,1,1.3,2.3630776405334473
152,200000,0,1.31,2.250328540802002
138,200000,0,1.32,2.0874075889587402
140,200000,1,1.33,2.3526723384857178
146,200000,0,1.34,2.0764694213867188
117,200000,0,1.35,2.4739508628845215
123,200000,0,1.36,2.178546190261841
140,200000,0,1.37,2.869823694229126
109,200000,0,1.38,2.8270626068115234
151,200000,0,1.39,2.2186355590820312
140,200000,0,1.4,2.1610352993011475
116,200000,0,1.41,2.4050467014312744
126,200000,0,1.42,2.238154411315918
110,200000,0,1.43,2.083843946456909
134,200000,0,1.44,2.1961121559143066
119,200000,0,1.45,2.1187829971313477
123,200000,0,1.46,2.0952723026275635
115,200000,0,1.47,2.3178510665893555
113,200000,0,1.48,2.550900459289551
123,200000,0,1.49,2.14451265335083
143,200000,0,1.5,2.4274826049804688
110,200000,0,1.51,2.0971546173095703
127,200000,0,1.52,2.480062484741211
124,200000,0,1.53,2.4850852489471436
130,200000,0,1.54,2.2966372966766357
134,200000,0,1.55,2.5343217849731445
126,200000,0,1.56,3.011960506439209
